i NotaGeral Q1.1 Q1.2 Q1.3 Q2.1 Q2.2 Q2.3 Q2.4 Q3.1 Q3.2 Q3.3 Q3.4 Q4.1 Q4.2 Q4.3 Q5.1 Q5.2 Q5.3
1 0 3 4 5 3 3 3 5 5 4 4 4 3 3 5 5 5 4
2 0 3 3 4 3 3 2 5 4 3 4 5 2 3 3 5 4 4
3 0 3 3 3 4 3 3 4 5 3 4 5 3 3 4 4 4 4
4 0 3 3 5 4 4 2 5 3 2 4 4 4 2 4 4 4 4
5 0 4 3 4 3 4 3 4 4 3 4 4 2 4 4 4 4 4
6 0 4 4 4 4 4 3 4 4 3 4 4 3 4 4 4 4 4
7 0 3 3 4 3 4 5 4 4 4 4 5 3 4 4 4 4 4
8 0 4 4 5 4 3 4 4 4 4 4 5 4 3 4 5 4 4
9 0 4 4 4 3 3 3 4 4 3 4 5 3 3 3 5 4 4
10 0 4 4 3 4 4 4 4 3 4 3 5 3 4 4 4 4 3
11 0 5 4 4 5 4 4 5 5 5 5 5 2 2 3 4 4 4
13 1 4 4 4 4 3 3 4 3 3 5 4 4 3 5 5 4 3
14 1 4 5 5 4 4 5 5 4 4 4 5 5 5 5 5 4 4
15 1 4 4 3 4 4 4 4 3 5 4 5 5 5 4 5 4 3
16 1 5 4 5 4 4 5 5 5 5 4 5 4 3 4 5 4 5
17 1 5 5 5 4 5 4 5 4 4 4 5 4 3 5 5 4 5
18 1 4 5 4 4 5 4 5 5 4 4 5 5 4 4 4 4 4
19 1 4 3 4 4 4 3 5 5 3 4 4 4 3 4 5 4 4
20 1 3 3 3 4 3 3 4 5 3 4 4 5 3 4 4 4 4
21 1 4 4 4 4 4 4 4 4 4 4 3 4 4 4 5 4 5
22 1 4 4 4 5 5 4 5 5 4 4 5 5 4 4 5 5 5
23 1 4 4 4 4 4 4 4 4 4 4 5 5 5 4 5 4 5
25 1 5 5 5 5 5 5 5 5 5 5 5 4 5 5 5 5 4
26 1 5 5 5 4 4 3 4 3 5 5 5 4 3 4 4 4 4
28 1 4 4 5 4 4 4 4 4 5 4 5 4 5 5 5 5 5
29 1 4 5 5 4 5 4 4 4 4 5 4 4 4 5 5 5 5
30 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
31 1 4 4 5 5 5 4 5 5 4 4 5 5 4 5 5 5 5
32 1 4 5 5 5 5 4 5 5 3 5 5 5 5 5 5 5 4
33 1 5 5 5 5 5 4 4 5 4 5 5 5 4 5 5 5 5
34 1 5 4 5 4 4 5 5 5 5 5 5 5 5 5 5 5 5
35 1 5 5 5 5 5 4 5 5 5 4 5 5 5 4 5 5 5
36 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
38 1 5 5 5 5 5 3 5 5 4 5 5 5 5 5 5 5 5
39 1 5 5 5 5 5 5 5 4 5 5 5 5 5 5 5 5 5
40 1 5 5 5 4 4 4 4 4 4 5 5 5 5 5 5 5 5
41 1 5 5 5 4 5 5 5 5 4 5 5 5 4 5 5 5 5
42 1 5 5 5 5 4 4 5 5 5 5 4 5 4 4 5 5 5
43 1 4 3 4 5 4 4 4 5 5 5 5 5 4 5 5 5 5
44 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
45 1 5 5 5 5 5 5 5 5 5 5 5 5 4 5 5 5 5
46 1 5 5 5 4 5 5 5 5 5 5 5 5 5 5 5 5 5
47 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
48 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
49 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
50 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
51 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
52 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
53 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
