Codigo,NOME,Nível,Situação,A1998,A2001,A2004,A2007,A2008,A2009,A2010,A2011,A2012,A2013,A2014,A2017
12001015015P1,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,NA,3,3,3,3,3,4,4,4,4,4,4
15001016041P0,MATEMÁTICA E ESTATÍSTICA,Mestrado,EM FUNCIONAMENTO,NA,NA,3,4,4,4,4,4,4,4,4,4
22001018003P1,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,4,5,5,5,5,5,5,5,5,6,6,7
22001018003P1,MATEMÁTICA,Doutorado,EM FUNCIONAMENTO,4,5,5,5,5,5,5,5,5,6,6,7
24001015035P6,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,3,3,4,3,3,3,4,4,4,4,4,4
24009016012P7,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,NA,3,3,3,3,3,4,4,4,4,4,4
25001019003P0,MATEMÁTICA,Doutorado,EM FUNCIONAMENTO,5,6,5,5,5,5,5,5,5,5,5,5
25001019003P0,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,5,6,5,5,5,5,5,5,5,5,5,5
25001019048P3,ESTATÍSTICA,Doutorado,EM FUNCIONAMENTO,NA,NA,4,4,4,4,5,5,5,5,5,5
25001019048P3,ESTATÍSTICA,Mestrado,EM FUNCIONAMENTO,4,4,4,4,4,4,5,5,5,5,5,5
26001012015P0,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,NA,NA,3,3,3,3,4,4,4,4,4,3
28001010003P1,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,3,3,3,3,3,3,4,4,4,4,4,4
31001017003P7,MATEMÁTICA,Doutorado,EM FUNCIONAMENTO,4,5,5,6,6,6,6,6,6,7,7,7
31001017003P7,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,4,5,5,6,6,6,6,6,6,7,7,7
31001017005P0,ESTATÍSTICA,Doutorado,EM FUNCIONAMENTO,NA,4,4,5,5,5,5,5,5,5,5,5
31001017005P0,ESTATÍSTICA,Mestrado,EM FUNCIONAMENTO,4,4,4,5,5,5,5,5,5,5,5,5
31003010003P3,MATEMÁTICA,Doutorado,EM FUNCIONAMENTO,NA,NA,NA,NA,4,4,4,4,4,5,5,5
31003010003P3,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,4,4,4,4,4,4,4,4,4,5,5,5
31005012003P2,MATEMÁTICA,Doutorado,EM FUNCIONAMENTO,5,5,5,5,5,5,5,5,5,6,6,7
31005012003P2,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,5,5,5,5,5,5,5,5,5,6,6,7
31008011001P9,MATEMÁTICA,Doutorado,EM FUNCIONAMENTO,7,7,7,7,7,7,7,7,7,7,7,7
31008011001P9,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,7,7,7,7,7,7,7,7,7,7,7,7
32001010003P0,MATEMÁTICA,Doutorado,EM FUNCIONAMENTO,NA,5,5,5,5,5,6,6,6,5,5,6
32001010003P0,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,4,5,5,5,5,5,6,6,6,5,5,6
32001010053P7,ESTATÍSTICA,Doutorado,EM FUNCIONAMENTO,NA,NA,4,4,4,4,5,5,5,5,5,5
32001010053P7,ESTATÍSTICA,Mestrado,EM FUNCIONAMENTO,4,4,4,4,4,4,5,5,5,5,5,5
33001014007P8,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,5,5,5,5,5,5,5,5,5,5,5,4
33001014007P8,MATEMÁTICA,Doutorado,EM FUNCIONAMENTO,5,5,5,5,5,5,5,5,5,5,5,4
33002010005P1,MATEMÁTICA,Doutorado,EM FUNCIONAMENTO,5,6,6,6,6,6,6,6,6,6,6,5
33002010005P1,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,5,6,6,6,6,6,6,6,6,6,6,5
33002010006P8,MATEMÁTICA APLICADA,Doutorado,EM FUNCIONAMENTO,5,5,5,5,5,5,5,5,5,4,4,5
33002010006P8,MATEMÁTICA APLICADA,Mestrado,EM FUNCIONAMENTO,5,5,5,5,5,5,5,5,5,4,4,5
33002010007P4,ESTATÍSTICA,Doutorado,EM FUNCIONAMENTO,7,7,6,7,7,7,7,7,7,7,7,6
33002010007P4,ESTATÍSTICA,Mestrado,EM FUNCIONAMENTO,7,7,6,7,7,7,7,7,7,7,7,6
33002045003P5,MATEMÁTICA,Doutorado,EM FUNCIONAMENTO,5,5,5,6,6,6,6,6,6,7,7,7
33002045003P5,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,5,5,5,6,6,6,6,6,6,7,7,7
33003017003P5,MATEMÁTICA,Doutorado,EM FUNCIONAMENTO,6,6,7,7,7,7,7,7,7,7,7,7
33003017003P5,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,6,6,7,7,7,7,7,7,7,7,7,7
33003017004P1,MATEMÁTICA APLICADA,Doutorado,EM FUNCIONAMENTO,5,6,6,5,5,5,6,6,6,6,6,6
33003017004P1,MATEMÁTICA APLICADA,Mestrado,EM FUNCIONAMENTO,5,6,6,5,5,5,6,6,6,6,6,6
33003017006P4,ESTATÍSTICA,Doutorado,EM FUNCIONAMENTO,NA,NA,4,4,4,4,5,5,5,5,5,5
33003017006P4,ESTATÍSTICA,Mestrado,EM FUNCIONAMENTO,4,4,4,4,4,4,5,5,5,5,5,5
33004153071P0,MATEMÁTICA,Doutorado,EM FUNCIONAMENTO,NA,NA,NA,NA,4,4,4,4,4,5,5,5
33004153071P0,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,4,4,4,4,4,4,4,4,4,5,5,5
40001016041P1,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,NA,3,3,4,4,4,4,4,4,4,4,5
40001016041P1,MATEMÁTICA,Doutorado,EM FUNCIONAMENTO,NA,NA,NA,NA,NA,NA,4,4,4,4,4,5
40004015013P7,MATEMÁTICA,Doutorado,EM FUNCIONAMENTO,NA,NA,NA,NA,NA,NA,4,4,4,4,4,5
40004015013P7,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,4,3,4,4,4,4,4,4,4,4,4,5
41001010001P6,MATEMÁTICA PURA E APLICADA,Doutorado,EM FUNCIONAMENTO,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5
41001010001P6,MATEMÁTICA PURA E APLICADA,Mestrado,EM FUNCIONAMENTO,3,4,4,4,4,4,4,4,4,4,4,5
