"","Codigo","Nome","Nível","Situação","A1996","A1998","A2001","A2004","A2007","A2008","A2009","A2010","A2011","A2012","A2013","A2014","A2017","A2018"
"X2","12001015015P1","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",NA,NA,3,3,3,3,3,4,4,4,4,4,4,NA
"X21","15001016041P0","MATEMÁTICA E ESTATÍSTICA","Mestrado","EM FUNCIONAMENTO",NA,NA,NA,3,4,4,4,4,4,4,4,4,4,NA
"2","22001018003P1","MATEMÁTICA","Mestrado/Doutorado","EM FUNCIONAMENTO","A",4,5,5,5,5,5,5,5,5,6,6,7,NA
"X22","24001015035P6","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO","C",3,3,4,3,3,3,4,4,4,4,4,4,NA
"X23","24009016012P7","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",NA,NA,3,3,3,3,3,4,4,4,4,4,4,NA
"21","25001019003P0","MATEMÁTICA","Mestrado/Doutorado","EM FUNCIONAMENTO","B",5,6,5,5,5,5,5,5,5,5,5,5,NA
"22","25001019048P3","ESTATÍSTICA","Mestrado/Doutorado","EM FUNCIONAMENTO",NA,NA,NA,4,4,4,4,5,5,5,5,5,5,NA
"X24","26001012015P0","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",NA,NA,NA,3,3,3,3,4,4,4,4,4,3,NA
"X25","28001010003P1","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO","C",3,3,3,3,3,3,4,4,4,4,4,4,NA
"23","31001017003P7","MATEMÁTICA","Mestrado/Doutorado","EM FUNCIONAMENTO","B",4,5,5,6,6,6,6,6,6,7,7,7,NA
"24","31001017005P0","ESTATÍSTICA","Mestrado/Doutorado","EM FUNCIONAMENTO",NA,NA,4,4,5,5,5,5,5,5,5,5,5,NA
"25","31003010003P3","MATEMÁTICA","Mestrado/Doutorado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,4,4,4,4,4,5,5,5,NA
"26","31005012003P2","MATEMÁTICA","Mestrado/Doutorado","EM FUNCIONAMENTO","B",5,5,5,5,5,5,5,5,5,6,6,7,NA
"27","31008011001P9","MATEMÁTICA","Mestrado/Doutorado","EM FUNCIONAMENTO","A",7,7,7,7,7,7,7,7,7,7,7,7,NA
"28","32001010003P0","MATEMÁTICA","Mestrado/Doutorado","EM FUNCIONAMENTO",NA,NA,5,5,5,5,5,6,6,6,5,5,6,NA
"29","32001010053P7","ESTATÍSTICA","Mestrado/Doutorado","EM FUNCIONAMENTO",NA,NA,NA,4,4,4,4,5,5,5,5,5,5,NA
"210","33001014007P8","MATEMÁTICA","Mestrado/Doutorado","EM FUNCIONAMENTO","A",5,5,5,5,5,5,5,5,5,5,5,4,NA
"211","33002010005P1","MATEMÁTICA","Mestrado/Doutorado","EM FUNCIONAMENTO","B",5,6,6,6,6,6,6,6,6,6,6,5,NA
"212","33002010006P8","MATEMÁTICA APLICADA","Mestrado/Doutorado","EM FUNCIONAMENTO","B",5,5,5,5,5,5,5,5,5,4,4,5,NA
"213","33002010007P4","ESTATÍSTICA","Mestrado/Doutorado","EM FUNCIONAMENTO","A",7,7,6,7,7,7,7,7,7,7,7,6,NA
"214","33002045003P5","MATEMÁTICA","Mestrado/Doutorado","EM FUNCIONAMENTO","B",5,5,5,6,6,6,6,6,6,7,7,7,NA
"215","33003017003P5","MATEMÁTICA","Mestrado/Doutorado","EM FUNCIONAMENTO","A",6,6,7,7,7,7,7,7,7,7,7,7,NA
"216","33003017004P1","MATEMÁTICA APLICADA","Mestrado/Doutorado","EM FUNCIONAMENTO","A",5,6,6,5,5,5,6,6,6,6,6,6,NA
"217","33003017006P4","ESTATÍSTICA","Mestrado/Doutorado","EM FUNCIONAMENTO",NA,NA,NA,4,4,4,4,5,5,5,5,5,5,NA
"218","33004153071P0","MATEMÁTICA","Mestrado/Doutorado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,4,4,4,4,4,5,5,5,NA
"219","40001016041P1","MATEMÁTICA","Mestrado/Doutorado","EM FUNCIONAMENTO",NA,NA,3,3,4,4,4,4,4,4,4,4,5,NA
"220","40004015013P7","MATEMÁTICA","Mestrado/Doutorado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,5,NA
"221","41001010001P6","Curso de Doutorado em Matemática Pura e Aplicada","Mestrado/Doutorado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,NA
"222","42001013003P8","MATEMÁTICA","Mestrado/Doutorado","EM FUNCIONAMENTO","N",5,5,5,5,5,5,5,5,5,4,4,5,NA
"223","42001013063P0","MATEMÁTICA APLICADA","Mestrado/Doutorado","EM FUNCIONAMENTO",NA,NA,4,4,4,4,4,4,4,4,4,4,4,NA
"224","52001016001P3","Matemática","Mestrado/Doutorado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,NA
"225","53001010003P2","MATEMÁTICA","Mestrado/Doutorado","EM FUNCIONAMENTO","A",6,6,6,6,6,6,6,6,6,7,7,7,NA
"X26","30001013023P5","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",NA,NA,NA,3,3,3,3,3,3,3,3,3,3,NA
"X27","23001011042P0","MATEMATICA APLICADA E ESTATISTICA","Mestrado","EM FUNCIONAMENTO",NA,NA,NA,3,3,3,3,3,3,3,3,3,3,NA
"X28","42002010034P0","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",NA,NA,NA,3,3,3,3,3,3,3,3,3,3,NA
"X29","32006012023P2","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",NA,NA,NA,3,3,3,3,3,3,3,4,4,4,NA
"X210","40002012030P6","MATEMÁTICA APLICADA E COMPUTACIONAL","Mestrado","EM FUNCIONAMENTO",NA,NA,NA,3,3,3,3,3,3,3,3,3,3,NA
"X211","32002017035P5","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,NA
"X212","53001010074P7","ESTATISTICA","Mestrado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,3,3,3,3,3,3,3,4,NA
"226","33144010002P3","Matemática","Mestrado/Doutorado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,NA
"227","21001014021P7","DOUTORADO EM MATEMÁTICA","Mestrado/Doutorado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"X213","33004129046P9","MATEMÁTICA APLICADA E COMPUTACIONAL","Mestrado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,NA,3,3,3,4,4,3,NA
