"","UF","X","Codigo","Instituicao","Nome","Nível","Situação","A1998","A2001","A2004","A2007","A2008","A2009","A2010","A2011","A2012","A2013","A2014","A2017","DNome","DNível","DSituação","DA1998","DA2001","DA2004","DA2007","DA2008","DA2009","DA2010","DA2011","DA2012","DA2013","DA2014","DA2017","SigladaIES","MUNICIPIO","Tipo","Regiao","Estado","Capital","SiglaRegigao"
"1","AL",13,"26001012015P0","UNIVERSIDADE FEDERAL DE ALAGOAS","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",NA,NA,3,3,3,3,4,4,4,4,4,3,NA,"Doutorado","Inexistente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UFAL","Maceió","Publica","Nordeste","Alagoas","Maceió","NE"
"2","AM",1,"12001015015P1","Universidade Federal do Amazonas","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",NA,3,3,3,3,3,4,4,4,4,4,4,NA,"Doutorado","Inexistente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UFAM","Manaus","Publica","Norte","Amazonas","Manaus","NO"
"3","BA",15,"28001010003P1","UNIVERSIDADE FEDERAL DA BAHIA","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",3,3,3,3,3,3,4,4,4,4,4,4,NA,"Doutorado","Inexistente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UFBA","Salvador","Publica","Nordeste","Bahia","Salvador","NE"
"4","BA",16,"28001010081P2","UNIVERSIDADE FEDERAL DA BAHIA",NA,"Mestrado","Inexistente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Matemática","Doutorado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,"UFBA","Salvador","Publica","Nordeste","Bahia","Salvador","NE"
"5","CE",6,"22001018003P1","UNIVERSIDADE FEDERAL DO CEARÁ","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",4,5,5,5,5,5,5,5,5,6,6,7,"MATEMÁTICA","Doutorado","EM FUNCIONAMENTO",4,5,5,5,5,5,5,5,5,6,6,7,"UFC","Fortaleza","Publica","Nordeste","Ceará","Fortaleza","NE"
"6","DF",51,"53001010003P2","UNIVERSIDADE DE BRASÍLIA","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",6,6,6,6,6,6,6,6,6,7,7,7,"MATEMÁTICA","Doutorado","EM FUNCIONAMENTO",6,6,6,6,6,6,6,6,6,7,7,7,"UNB","Brasília","Publica","Distrito Federal","Distrito Federal","Brasília","DF"
"7","DF",52,"53001010074P7","UNIVERSIDADE DE BRASÍLIA","ESTATISTICA","Mestrado","EM FUNCIONAMENTO",NA,NA,NA,NA,3,3,3,3,3,3,3,4,NA,"Doutorado","Inexistente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNB","Brasília","Publica","Distrito Federal","Distrito Federal","Brasília","DF"
"8","ES",17,"30001013023P5","UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",NA,NA,3,3,3,3,3,3,3,3,3,3,NA,"Doutorado","Inexistente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UFES","Vitória","Publica","Sudeste","Espírito Santo","Vitória","SE"
"9","GO",50,"52001016001P3","UNIVERSIDADE FEDERAL DE GOIÁS","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",3,3,4,4,4,4,4,4,4,4,4,4,"Matemática","Doutorado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,"UFG","Goiânia","Publica","Centro-Oeste","Goiás","Goiânia","CO"
"10","MA",4,"20001010019P0","UNIVERSIDADE FEDERAL DO MARANHÃO","MATEMATICA","Mestrado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,NA,"Doutorado","Inexistente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UFMA","São Luís","Publica","Nordeste","Maranhão","São Luís","NE"
